Title,Edition,Developer,Platform,Format,Type,UPC
Absolver,Special Reserve,Sloclap,PS4,Blu-ray Disc,playstation,
Alan Wake II,Deluxe,Remedy Entertainment,PS5,Ultra-HD Blu-ray,playstation,810136672091
Alien: Isolation,Nostromo,Creative Assembly,PS4,Blu-ray Disc,playstation,010086632002
Among Us,Crewmate,Innersloth,PS5,Ultra-HD Blu-ray,playstation,814290017347
Armored Core VI: Fires of Rubicon,Standard,FromSoftware,PS5,Ultra-HD Blu-ray,playstation,722674130158
Art of Rally,Standard,Funselektor Labs,PS5,Ultra-HD Blu-ray,playstation,860006405182
Astro Bot,Standard,Team Asobi,PS5,Ultra-HD Blu-ray,playstation,717719588948
Back 4 Blood,Standard,Turtle Rock Studios,PS5,Ultra-HD Blu-ray,playstation,883929739875
Balatro,Special,LocalThunk,PS5,Ultra-HD Blu-ray,playstation,810136671766
Call of Duty: Black Ops III,Standard,Treyarch,PS4,Blu-ray Disc,playstation,047875874589
Chicory: A Colorful Tale,Limited Run #125,Wishes Unlimited,PS5,Ultra-HD Blu-ray,playstation,810148578367
Cocoon,Standard,Geometric Interactive,PS5,Ultra-HD Blu-ray,playstation,810136671902
Coffee Talk,Single Shot,Toge Productions,PS5,Ultra-HD Blu-ray,playstation,810109940417
Control,Ultimate,Remedy Entertainment,PS5,Ultra-HD Blu-ray,playstation,812872012261
Crisis Core: Final Fantasy VII Reunion,Standard,Square Enix,PS5,Ultra-HD Blu-ray,playstation,662248926780
Dark Souls III,The Fire Fades,FromSoftware,PS4,Blu-ray Disc,playstation,722674121408
Dead Space Remake,Standard,Motive Studio,PS5,Ultra-HD Blu-ray,playstation,014633381078
Death's Door,Standard,Acid Nerve,PS5,Ultra-HD Blu-ray,playstation,812303017803
Demon's Souls,Standard,FromSoftware,PS3,Blu-ray Disc,playstation,730865001323
Demon's Souls Remake,Standard,Bluepoint Games,PS5,Ultra-HD Blu-ray,playstation,711719541271
Destiny,Standard,Bungie,PS4,Blu-ray Disc,playstation,047875846913
Dragon Age II,Standard,BioWare,PS3,Blu-ray Disc,playstation,014633365368
Dragon Age: Inquisition,Standard,BioWare,PS4,Blu-ray Disc,playstation,014633367621
Dragon Age: Origins,Ultimate,BioWare,PS3,Blu-ray Disc,playstation,014633195248
Dragon Age: The Veilguard,Deluxe,BioWare,PS5,Blu-ray Disc,playstation,014633749069
EA Sports FC 25,Standard,EA Sports,PS5,Ultra-HD Blu-ray,playstation,014633382907
EA Sports FIFA 22,Standard,EA Sports,PS4,Blu-ray Disc,playstation,014633376746
EA Sports NHL 25,Standard,EA Sports,PS5,Ultra-HD Blu-ray,playstation,014633384932
EA Sports WRC,Standard,Codemasters,PS5,Ultra-HD Blu-ray,playstation,014633383423
Final Fantasy VII Remake Intergrade,Standard,Square Enix,PS5,Ultra-HD Blu-ray,playstation,662248924878
Fort Solis,Standard,Fallen Leaf Black Drakkar Games,PS5,Ultra-HD Blu-ray,playstation,819335021921
God of War,Standard,Santa Monica Studio,PS4,Blu-ray Disc,playstation,711719506096
God of War Ragnarok,Standard,Santa Monica Studio,PS5,Ultra-HD Blu-ray,playstation,711719546832
Hades,Standard,Supergiant Games,PS5,Ultra-HD Blu-ray,playstation,710425577895
Hollow Knight,Standard,Team Cherry,PS4,Blu-ray Disc,playstation,850055007635
Horizon Zero Dawn,Standard,Guerrilla Games,PS4,Blu-ray Disc,playstation,711719503491
Ico,Remastered,Team Ico,PS3,Blu-ray Disc,playstation,711719825920
Immortals of Aveum,Standard,Ascendant Studios,PS5,Ultra-HD Blu-ray,playstation,014633383676
In Stars and Time,Limited Run #127,insertdisc5,PS5,Ultra-HD Blu-ray,playstation,810148578381
It Takes Two,Standard,Hazelight Studios,PS4,Blu-ray Disc,playstation,014633746280
Judgment,Standard,Ryu Ga Gotoku Studio,PS5,Ultra-HD Blu-ray,playstation,011086632705
Life is Strange: True Colors,Standard,Deck Nine,PS5,Ultra-HD Blu-ray,playstation,662248925080
Like a Dragon: Ishin,Standard,Ryu Ga Gotoku Studio,PS5,Ultra-HD Blu-ray,playstation,010086632989
Lost Judgment,Standard,Ryu Ga Gotoku Studio,PS5,Ultra-HD Blu-ray,playstation,010086632712
Mass Effect Legendary Edition,Standard,BioWare,PS4,Blu-ray Disc,playstation,014633742831
Mass Effect: Andromeda,Deluxe,BioWare,PS4,Blu-ray Disc,playstation,014633371260
Neon White,Standard,Angel Matrix,PS5,Ultra-HD Blu-ray,playstation,811949036193
Neva,Standard,Nomada Studio,PS5,Ultra-HD Blu-ray,playstation,810136672275
NieR: Automata,Game of the YoRHa,PlatinumGames,PS4,Blu-ray Disc,playstation,662248922232
Nioh 2 Remastered,Complete,Team Ninja,PS5,Ultra-HD Blu-ray,playstation,711719545903
Nioh Remastered,Complete,Team Ninja,PS5,Ultra-HD Blu-ray,playstation,711719545903
Persona 5 Strikers,Standard,Omega Force P-Studio,PS4,Blu-ray Disc,playstation,010086220346
Sekiro: Shadows Die Twice,Standard,FromSoftware,PS4,Blu-ray Disc,playstation,047875882935
Shadow of the Colossus,Remastered,Team Ico,PS3,Blu-ray Disc,playstation,711719825920
Split Fiction,Standard,Hazelight Studios,PS5,Ultra-HD Blu-ray,playstation,014633385151
Star Wars Jedi: Survivor,Deluxe,Respawn Entertainment,PS5,Ultra-HD Blu-ray,playstation,014633748611
The Elder Scrolls Online,Imperial,ZeniMax Online Studios,PS4,Blu-ray Disc,playstation,571650480578
The Elder Scrolls V: Skyrim,Special,Bethesda Game Studios,PS4,Blu-ray Disc,playstation,093155171275
The Invincible,Standard,Starward Industries,PS5,Ultra-HD Blu-ray,playstation,819335021976
The Last Guardian,Standard,GenDesign,PS4,Blu-ray Disc,playstation,711719503415
The Last of Us Part I,Standard,Naughty Dog,PS5,Ultra-HD Blu-ray,playstation,711719553410
The Last of Us Part II,Standard,Naughty Dog,PS4,Blu-ray Disc,playstation,711719519027
The Last of Us Remastered,Standard,Naughty Dog,PS4,Blu-ray Disc,playstation,711719051800
The Pathless,Standard,Giant Squid,PS5,Ultra-HD Blu-ray,playstation,850021640187
The Stanley Parable,Ultra Deluxe,Galactic Cafe,PS5,Ultra-HD Blu-ray,playstation,810136671476
Uncharted 2: Among Thieves Remastered,Standard,Naughty Dog,PS4,Blu-ray Disc,playstation,711719501374
Uncharted 3: Drake's Deception Remastered,Standard,Naughty Dog,PS4,Blu-ray Disc,playstation,711719501374
Uncharted 4: A Thief's End Remastered,Standard,Naughty Dog,PS5,Ultra-HD Blu-ray,playstation,711719546825
Uncharted: Drake's Fortune Remastered,Standard,Naughty Dog,PS4,Blu-ray Disc,playstation,711719501374
Uncharted: The Lost Legacy Remastered,Standard,Naughty Dog,PS5,Ultra-HD Blu-ray,playstation,711719546825
Wild Hearts,Standard,Omega Force,PS5,Ultra-HD Blu-ray,playstation,014633748048
Wizardry: Proving Grounds of the Mad Overlord,Standard,Digital Eclipse,PS5,Ultra-HD Blu-ray,playstation,810174080100
Yakuza: Like a Dragon,Standard,Ryu Ga Gotoku Studio,PS5,Ultra-HD Blu-ray,playstation,010086632699
13 Sentinels: Aegis Rim,Standard,Vanillaware,PS4,Blu-ray Disc,playstation,730865220311
Dead Cells,Return to Castlevania,Motion Twin,PS5,Ultra-HD Blu-ray,playstation,819335021808
Red Dead Redemption,Standard,Rockstar San Diego,PS4,Blu-ray Disc,playstation,710425671463
Red Dead Redemption II,Standard,Rockstar Games,PS4,Blu-ray Disc,playstation,710425478925
The Last of Us Part II Remastered,Standard,Naughty Dog,PS5,Ultra-HD Blu-ray,playstation,711719553786
Resident Evil 2 Remake,Standard,Capcom,PS5,Ultra-HD Blu-ray,playstation,013388580286
Resident Evil 3 Remake,Standard,Capcom,PS5,Ultra-HD Blu-ray,playstation,013388580279
Resident Evil 4 Remake,Standard,Capcom,PS5,Ultra-HD Blu-ray,playstation,013388580132
Devil May Cry 5 Special Edition,Standard,Capcom,PS5,Ultra-HD Blu-ray,playstation,013388580026
Clair Obscur: Expedition 33,Standard,Sandfall Interactive,PS5,Ultra-HD Blu-ray,playstation,814290019891
Call of Duty: Modern Warfare 2,Standard,Infinity Ward,Xbox 360,,xbox,047875837492
Call of Duty: Modern Warfare 3,Standard,"Infinity Ward, Sledgehammer Games",Xbox 360,,xbox,047875842069
Red Dead Redemption,Standard,Rockstar San Diego,Xbox 360,,xbox,710425395765
Mass Effect 3,Standard,BioWare,Xbox 360,,xbox,014633195859
Halo: Combat Evolved,Standard,Bungie,Xbox,,xbox,659556745158
Halo 2,Standard,Bungie,Xbox,,xbox,805529792234
Halo 2 Multiplayer Map Pack,Standard,Bungie,Xbox,,xbox,882224024259
Halo 3,Standard,Bungie,Xbox 360,,xbox,882224444477
Halo 3: ODST,Standard,Bungie,Xbox 360,,xbox,882224729741
Halo: Reach,Standard,Bungie,Xbox 360,,xbox,885370040159
Halo 4,Standard,343 Industries,Xbox 360,,xbox,885370429671
The Elder Scrolls IV: Oblivion,Standard,Bethesda Game Studios,Xbox 360,,xbox,710425390135
The Elder Scrolls IV: Shivering Isles,Standard,Bethesda Game Studios,Xbox 360,,xbox,093155127005
The Elder Scrolls V: Skyrim,Standard,Bethesda Game Studios,Xbox 360,,xbox,093155117662
Fable II,Standard,Lionhead Studios,Xbox 360,,xbox,882224694179
EA Sports NHL 09,Standard,EA Sports,Xbox 360,,xbox,014633358629
Turok,Standard,Propaganda Games,Xbox 360,,xbox,712725004279
Army of Two,Standard,EA Montreal,Xbox 360,,xbox,014633359923
Lego Star Wars: The Complete Saga,Standard,Traveller's Tales,Xbox 360,,xbox,023272330767
Call of Duty 4: Modern Warfare,Standard,Infinity Ward,Xbox 360,,xbox,047875832473
EA Sports FC 26,Standard,EA Sports,PS5,Ultra-HD Blu-ray,playstation,014633385243
Life is Strange: Double Exposure,Standard,Deck Nine,PS5,Ultra-HD Blu-ray,playstation,662248927886
Cyberpunk 2077,Ultimate,CD Projekt Red,PS5,Ultra-HD Blu-ray,playstation,810136671230
Lords of the Fallen Reboot,Standard,Hexworks,PS5,Ultra-HD Blu-ray,playstation,816293018109
The Callisto Protocol,Standard,Striking Distance Studios,PS5,Ultra-HD Blu-ray,playstation,811949034878
Marvel's Midnight Suns,Enhanced,Firaxis Games,PS5,Ultra-HD Blu-ray,playstation,710425579493
Dead Cells,Return to Castlevania,Motion Twin,PS5,Ultra-HD Blu-ray,playstation,819335021808
Double Fine PsychOdyssey,Boxset,,,Blu-ray Disc,bluray,
